Person,Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
Trevor,2024-01-01,Trevor Workout,1h,Bench Press (Barbell),1,89.06,5,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-01-02,Trevor Workout,1h,Bench Press (Barbell),1,89.19,10,0,0,Lorem ipsum dolor sit amet,,8.2
Trevor,2024-01-03,Trevor Workout,1h,Bench Press (Barbell),1,89.25,9,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-01-04,Trevor Workout,1h,Bench Press (Barbell),1,89.3,9,0,0,Lorem ipsum dolor sit amet,,6.6
Trevor,2024-01-05,Trevor Workout,1h,Bench Press (Barbell),1,89.35,7,0,0,Lorem ipsum dolor sit amet,,9.4
Trevor,2024-01-06,Trevor Workout,1h,Bench Press (Barbell),1,89.37,10,0,0,Lorem ipsum dolor sit amet,,7.2
Trevor,2024-01-07,Trevor Workout,1h,Bench Press (Barbell),1,89.45,10,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-01-08,Trevor Workout,1h,Bench Press (Barbell),1,89.63,5,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-01-09,Trevor Workout,1h,Bench Press (Barbell),1,89.79,9,0,0,Lorem ipsum dolor sit amet,,6.7
Trevor,2024-01-10,Trevor Workout,1h,Bench Press (Barbell),1,89.91,7,0,0,Lorem ipsum dolor sit amet,,7.1
Trevor,2024-01-11,Trevor Workout,1h,Bench Press (Barbell),1,89.91,6,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-01-12,Trevor Workout,1h,Bench Press (Barbell),1,90.06,7,0,0,Lorem ipsum dolor sit amet,,7.5
Trevor,2024-01-13,Trevor Workout,1h,Bench Press (Barbell),1,90.38,8,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-01-14,Trevor Workout,1h,Bench Press (Barbell),1,90.56,6,0,0,Lorem ipsum dolor sit amet,,7.0
Trevor,2024-01-15,Trevor Workout,1h,Bench Press (Barbell),1,90.54,5,0,0,Lorem ipsum dolor sit amet,,8.1
Trevor,2024-01-16,Trevor Workout,1h,Bench Press (Barbell),1,90.68,10,0,0,Lorem ipsum dolor sit amet,,6.5
Trevor,2024-01-17,Trevor Workout,1h,Bench Press (Barbell),1,90.82,10,0,0,Lorem ipsum dolor sit amet,,8.5
Trevor,2024-01-18,Trevor Workout,1h,Bench Press (Barbell),1,90.94,7,0,0,Lorem ipsum dolor sit amet,,9.7
Trevor,2024-01-19,Trevor Workout,1h,Bench Press (Barbell),1,91.15,10,0,0,Lorem ipsum dolor sit amet,,7.1
Trevor,2024-01-20,Trevor Workout,1h,Bench Press (Barbell),1,91.24,9,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-01-21,Trevor Workout,1h,Bench Press (Barbell),1,91.43,5,0,0,Lorem ipsum dolor sit amet,,7.5
Trevor,2024-01-22,Trevor Workout,1h,Bench Press (Barbell),1,91.43,7,0,0,Lorem ipsum dolor sit amet,,9.8
Trevor,2024-01-23,Trevor Workout,1h,Bench Press (Barbell),1,91.63,5,0,0,Lorem ipsum dolor sit amet,,6.8
Trevor,2024-01-24,Trevor Workout,1h,Bench Press (Barbell),1,91.79,8,0,0,Lorem ipsum dolor sit amet,,6.8
Trevor,2024-01-25,Trevor Workout,1h,Bench Press (Barbell),1,91.77,6,0,0,Lorem ipsum dolor sit amet,,9.4
Trevor,2024-01-26,Trevor Workout,1h,Bench Press (Barbell),1,91.81,8,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-01-27,Trevor Workout,1h,Bench Press (Barbell),1,92.33,7,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-01-28,Trevor Workout,1h,Bench Press (Barbell),1,92.43,8,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-01-29,Trevor Workout,1h,Bench Press (Barbell),1,92.47,5,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-01-30,Trevor Workout,1h,Bench Press (Barbell),1,92.57,5,0,0,Lorem ipsum dolor sit amet,,9.1
Trevor,2024-01-31,Trevor Workout,1h,Bench Press (Barbell),1,92.69,9,0,0,Lorem ipsum dolor sit amet,,6.1
Trevor,2024-02-01,Trevor Workout,1h,Bench Press (Barbell),1,92.75,8,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-02-02,Trevor Workout,1h,Bench Press (Barbell),1,92.79,10,0,0,Lorem ipsum dolor sit amet,,7.5
Trevor,2024-02-03,Trevor Workout,1h,Bench Press (Barbell),1,93.0,8,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-02-04,Trevor Workout,1h,Bench Press (Barbell),1,93.3,10,0,0,Lorem ipsum dolor sit amet,,9.0
Trevor,2024-02-05,Trevor Workout,1h,Bench Press (Barbell),1,93.56,5,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-02-06,Trevor Workout,1h,Bench Press (Barbell),1,93.67,7,0,0,Lorem ipsum dolor sit amet,,6.9
Trevor,2024-02-07,Trevor Workout,1h,Bench Press (Barbell),1,93.85,7,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-02-08,Trevor Workout,1h,Bench Press (Barbell),1,94.01,7,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-02-09,Trevor Workout,1h,Bench Press (Barbell),1,94.55,10,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-02-10,Trevor Workout,1h,Bench Press (Barbell),1,94.92,10,0,0,Lorem ipsum dolor sit amet,,9.0
Trevor,2024-02-11,Trevor Workout,1h,Bench Press (Barbell),1,95.35,10,0,0,Lorem ipsum dolor sit amet,,10.0
Trevor,2024-02-12,Trevor Workout,1h,Bench Press (Barbell),1,95.45,7,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-02-13,Trevor Workout,1h,Bench Press (Barbell),1,95.9,9,0,0,Lorem ipsum dolor sit amet,,8.3
Trevor,2024-02-14,Trevor Workout,1h,Bench Press (Barbell),1,96.29,10,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-02-15,Trevor Workout,1h,Bench Press (Barbell),1,96.49,7,0,0,Lorem ipsum dolor sit amet,,8.7
Trevor,2024-02-16,Trevor Workout,1h,Bench Press (Barbell),1,96.59,8,0,0,Lorem ipsum dolor sit amet,,6.4
Trevor,2024-02-17,Trevor Workout,1h,Bench Press (Barbell),1,96.8,6,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-02-18,Trevor Workout,1h,Bench Press (Barbell),1,97.04,5,0,0,Lorem ipsum dolor sit amet,,8.3
Trevor,2024-02-19,Trevor Workout,1h,Bench Press (Barbell),1,97.24,9,0,0,Lorem ipsum dolor sit amet,,9.8
Trevor,2024-02-20,Trevor Workout,1h,Bench Press (Barbell),1,97.44,6,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-02-21,Trevor Workout,1h,Bench Press (Barbell),1,97.57,5,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-02-22,Trevor Workout,1h,Bench Press (Barbell),1,97.69,5,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-02-23,Trevor Workout,1h,Bench Press (Barbell),1,98.11,6,0,0,Lorem ipsum dolor sit amet,,9.9
Trevor,2024-02-24,Trevor Workout,1h,Bench Press (Barbell),1,98.55,5,0,0,Lorem ipsum dolor sit amet,,8.3
Trevor,2024-02-25,Trevor Workout,1h,Bench Press (Barbell),1,98.94,8,0,0,Lorem ipsum dolor sit amet,,9.7
Trevor,2024-02-26,Trevor Workout,1h,Bench Press (Barbell),1,99.18,8,0,0,Lorem ipsum dolor sit amet,,6.5
Trevor,2024-02-27,Trevor Workout,1h,Bench Press (Barbell),1,99.48,10,0,0,Lorem ipsum dolor sit amet,,9.0
Trevor,2024-02-28,Trevor Workout,1h,Bench Press (Barbell),1,99.81,7,0,0,Lorem ipsum dolor sit amet,,9.1
Trevor,2024-02-29,Trevor Workout,1h,Bench Press (Barbell),1,99.89,10,0,0,Lorem ipsum dolor sit amet,,7.3
Trevor,2024-03-01,Trevor Workout,1h,Bench Press (Barbell),1,100.48,6,0,0,Lorem ipsum dolor sit amet,,9.3
